"var","type","id","cat","parentv","parent_catv","m_id","V1_CONTROL","V1_EXPOSED","V2_CONTROL","V2_EXPOSED","V3_CONTROL","V3_EXPOSED","asd_1"
"SV_HU_PRIOR_HOSP_NUM","CAT",42,"1",NA,NA,11,"19","10","1.09007458405049","0.57372346528973",NA,NA,"0.063"
"SV_HU_PRIOR_HOSP_NUM","CAT",43,"2",NA,NA,11,"[1-4]","[1-4]","[0.057372346528973-0.229489386115892]","[0.057372346528973-0.229489386115892]",NA,NA,"0.063"
"SV_HU_PRIOR_ED_NUM","CAT",44,"0",NA,NA,12,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_ED_NUM","CAT",45,"1",NA,NA,12,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_ED_NUM","CAT",46,"2",NA,NA,12,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_PC_NUM","CAT",47,"0",NA,NA,13,"1468","1505","84.2226047045324","86.3453815261044",NA,NA,"0.061"
"SV_HU_PRIOR_PC_NUM","CAT",48,"1",NA,NA,13,"107","90","6.13884107860012","5.16351118760757",NA,NA,"0.061"
"SV_HU_PRIOR_PC_NUM","CAT",49,"2",NA,NA,13,"168","148","9.63855421686747","8.49110728628801",NA,NA,"0.061"
"SV_HU_PRIOR_CS_NUM","CAT",50,"0",NA,NA,14,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_CS_NUM","CAT",51,"1",NA,NA,14,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_CS_NUM","CAT",52,"2",NA,NA,14,"0","0","0","0",NA,NA,"0"
"SV_HU_PRIOR_ANY_COVID_TEST","CAT",53,"0",NA,NA,15,"7","[1-4]","0.401606425702811","[0.057372346528973-0.229489386115892]",NA,NA,"0.085"
"SV_HU_PRIOR_ANY_COVID_TEST","CAT",54,"1",NA,NA,15,"126","98","7.2289156626506","5.62248995983936",NA,NA,"0.085"
"SV_HU_PRIOR_ANY_COVID_TEST","CAT",55,"2",NA,NA,15,"350","380","20.0803212851406","21.8014916810098",NA,NA,"0.085"
"SV_HU_PRIOR_ANY_COVID_TEST","CAT",56,"3",NA,NA,15,"1260","[1261-1264]","72.289156626506","[72.346528973035-72.5186460126219]",NA,NA,"0.085"
